军,1-Jun,army/military/arms
君,1-Jun,monarch/lord/gentleman/ruler
均,1-Jun,equal/even/all/uniform
钧,1-Jun,30 catties/great/your (hon.)
麇,1-Jun,hornless deer
皲,1-Jun,to chap
郡,4-Jun,canton/county/region
俊,4-Jun,smart/eminent/handsome/talented
峻,4-Jun,steep
骏,4-Jun,spirited horse
竣,4-Jun,complete/finish
隽,4-Jun,smart/eminent/talented
捃,4-Jun,gather/to sort
啊,a1/a2/a3/a4/a,"(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)"
阿,a1/a4/a/e1,"an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter"
呵,a1/he1,"(phonetic particle), expel breath/my goodness"
嗄,a2/sha4,"ah (exclamatory part.), hoarse"
埃,ai1,dirt/dust/angstrom
哀,ai1,sorrow/grief/pity/to grieve for/to pity/to lament
哎,ai1,an interjection/hey/lookout/why etc
挨,ai1/ai2,"lean to/in order/in sequence, next to/suffer (hunger)/endure/drag out/delay/stall/play for time"
唉,ai1/ai4,"an interjection/to express realization or agreement (yes, oh, right, etc), alas/oh dear"
捱,ai2,dawdle/suffer
皑,ai2,"white (of snow, etc.)"
癌,ai2/yan2,"cancer, cancer (old pronuniation)/carcinoma"
矮,ai3,short (not tall)
蔼,ai3,friendly
霭,ai3,cloudy sky/friendly
嗳,ai3/ai4,"(interj. of disapproval), (interj. of regret)"
爱,ai4,to love/affection/to be fond of/to like
艾,ai4,(surname)/Artemisia vulgaris/Chinese mugwort
碍,ai4,to hinder/to obstruct/to block
隘,ai4,a pass or defile/narrow/confined/in distress
暧,ai4,obscure/clandestine
嫒,ai4,your daughter (hon.)
瑷,ai4,jasper/precious stone
安,an1,content/calm/still/quiet/to pacify/peace
庵,an1,hut/Buddhist convent/small Buddhist temple
鞍,an1,saddle
氨,an1,ammonia
谙,an1,be versed in/know well
鹌,an1,quail
桉,an1,eucalyptus globulus
俺,an3,I (northern dialects)
铵,an3,ammonium
按,an4,to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of
案,an4,(legal) case/incident/record/file/table
暗,an4,"dark/gloomy/hidden/secret, to shut the door/unilluminated"
岸,an4,bank/shore/beach/coast
黯,an4,deep black/dark
胺,an4,amine
犴,an4,jail
肮,ang1,"filthy, dirty/filthy"
昂,ang2,"high/raise (head), high/soaring/raise/lift/expensive/to raise one's head"
盎,ang4,abundant/bowl/dish/pot
凹,ao1,a depression/indentation/concave/hollow
熬,ao1/ao2,"to boil/stew/to simmer, endure/to boil"
敖,ao2,ramble
鳌,ao2,sea turtle
翱,ao2,soar/hover
嗷,ao2,loud clamor/the sound of wailing
鏖,ao2,violent fighting
遨,ao2,make excursion/ramble/travel
螯,ao2,nippers/claw (of crab)/chela/pincers/Astacus fluviatilis
廒,ao2,granary
獒,ao2,mastiff
聱,ao2,difficult to pronounce
袄,ao3,coat/jacket/short and lined coat or robe
媪,ao3,old woman
奥,ao4,obscure/mysterious
澳,ao4,Australia/deep bay/cove/bay/harbor/(abbrev) Macao
傲,ao4,proud/overbearing/insolent/arrogant
懊,ao4,to regret
坳,ao4,a depression/cavity/hollow
骜,ao4,a noble steed/untamed
拗,ao4/niu4,"bend/break in two, stubborn/contrary"
八,ba1,eight/8
巴,ba1,"(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)"
叭,ba1,"denote a sound or sharp noise (gunfire, etc.)"
疤,ba1,scar
笆,ba1,an article made of bamboo strips/fence
芭,ba1,a herb/banana
粑,ba1,tsamba (food in Tibet)
捌,ba1,complicated form of the numeral eight/split
吧,ba1/ba,"(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?"
扒,ba1/pa2,"climb/pull (out)/to strip/hold on to/cling to/dig up/rake/push aside, climb/crawl/snatch"
拔,ba2,pull up/pull out/select/promote
跋,ba2,travel/walk
魃,ba2,drought demon
菝,ba2,smilax china
茇,ba2,betel
靶,ba3,target/mark
钯,ba3,palladium
把,ba3/ba4,"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle"
爸,ba4,father/dad/pa/papa
霸,ba4,feudal chief/rule by force/tyrant/lord/master/hegemon/usurp
坝,ba4,dam/dyke/embankment
灞,ba4,name of a river
罢,ba4/ba,"to stop/cease/dismiss/suspend/to quit/to finish, (final part.)"
耙,ba4/pa2,"a rake/harrow, a rake"
掰,bai1,to break with both hands
白,bai2,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous
百,bai3,hundred
摆,bai3,pendulum/to place/to display/to swing/to oscillate/to show/to move/to exhibit
佰,bai3,(complicated form of) hundred (used to avoid fraud)
捭,bai3/bai4,"spread out/to open, weed"
柏,bai3/bo4,"(surname)/cedar/cypress, cypress/cedar"
拜,bai4,to pay respect/worship/visit/salute
败,bai4,be defeated/to defeat/loss
稗,bai4,millet/Panicum crus
呗,bai4/bei,to chant
般,ban1,sort/kind/class/way/manner
班,ban1,team/class/rank/squad/a work shift/a measure word/(a surname)
搬,ban1,remove/transport/move/shift
斑,ban1,variegated
颁,ban1,promulgate/send out/issue/to grant or confer
瘢,ban1,mark/scar on the skin
扳,ban1/pan1,"to pull or draw (up or out), climb up/pull"
版,ban3,a register/a block of printing/an edition/version/page
板,ban3,"board/plank/plate/slab, boss"
阪,ban3,a slope/hillside
舨,ban3,sampan
钣,ban3,metal plate/sheet of metal
办,ban4,to do/to manage/to handle/to go about/to run/to set up/to deal with
半,ban4,half/semi-/incomplete/(after a number) and a half/half
伴,ban4,a partner/companion or associate/to accompany/comrade
扮,ban4,to disguise oneself/to dress up/adorn
瓣,ban4,petal/section
绊,ban4,to trip/stumble/hinder
拌,ban4,to mix/mix in/to toss (a salad)
帮,bang1,to assist/to support/to help/group/gang/party
邦,bang1,a state/country or nation
浜,bang1,stream/creek
梆,bang1,watchman's rattle
傍,bang1/bang4,"near (approaching), near/nestle"
榜,bang3,a notice or announcement/a list of names/public roll of successful examinees
绑,bang3,to tie/bind or fasten together
膀,bang3/bang4/pang1/pang2,"upper arm/wing, to flirt, puffed (swollen), bladder"
